order_date,region,category,sub_category,product_name,sales,quantity,profit
2023-10-09,North,Furniture,Chairs,Office Chair,865.72,4,202.68
2023-01-31,North,Furniture,Tables,Desk Table,424.8,2,74.91
2023-08-14,North,Furniture,Chairs,Gaming Chair,4308.4,8,1087.26
2023-12-15,East,Technology,Copiers,Mini Copier,784.1,5,226.84
2023-04-10,North,Technology,Phones,Android Phone,4594.8,6,923.24
2024-01-23,East,Furniture,Tables,Desk Table,1011.6,2,260.34
2023-02-16,South,Furniture,Chairs,Office Chair,2801.2,4,830.01
2024-04-09,East,Technology,Accessories,Mouse,978.84,6,135.88
2023-06-25,South,Furniture,Bookcases,Wood Bookcase,655.16,4,94.91
2023-08-23,North,Furniture,Tables,Desk Table,728.44,1,109.48
2023-08-06,West,Technology,Copiers,Mini Copier,2945.28,8,820.66
2023-09-10,West,Technology,Accessories,USB Cable,3386.85,5,532.1
2024-06-05,North,Office Supplies,Paper,Printer Paper,800.0,8,49.42
2024-03-08,West,Technology,Copiers,Office Copier,717.2,2,142.7
2023-04-28,East,Furniture,Tables,Desk Table,3481.85,5,470.2
2023-01-04,North,Office Supplies,Paper,Notebook Paper,4376.3,5,1052.46
2023-06-06,North,Furniture,Tables,Desk Table,4146.06,6,766.38
2023-01-20,East,Furniture,Tables,Conference Table,1675.22,2,451.77
2023-03-22,South,Technology,Phones,iPhone Case,1328.16,2,337.36
2023-06-19,South,Technology,Copiers,Mini Copier,2421.75,5,488.34
2023-11-16,West,Furniture,Bookcases,Wood Bookcase,6270.11,7,1332.21
2023-09-11,South,Furniture,Tables,Desk Table,305.36,4,16.87
2023-03-14,East,Furniture,Chairs,Office Chair,221.47,1,61.2
2023-10-13,West,Technology,Copiers,Office Copier,1668.24,8,138.59
2023-07-14,West,Technology,Accessories,Mouse,210.6,2,33.22
2023-04-11,North,Office Supplies,Binders,3-Ring Binder,374.31,1,50.47
2024-04-04,South,Technology,Phones,iPhone Case,1173.78,3,140.43
2023-04-11,North,Technology,Accessories,Keyboard,593.89,1,109.96
2024-02-21,North,Technology,Phones,iPhone Case,3548.8,8,944.56
2024-02-04,East,Technology,Accessories,USB Cable,4176.7,5,1028.65
2023-06-08,North,Office Supplies,Storage,Desk Organizer,1124.4,4,328.52
2023-02-21,South,Furniture,Tables,Desk Table,3700.08,8,973.79
2023-07-10,South,Technology,Copiers,Office Copier,1087.26,2,237.9
2023-02-10,East,Office Supplies,Paper,Printer Paper,777.84,2,152.39
2023-09-02,East,Office Supplies,Paper,Notebook Paper,1841.45,5,401.29
2023-01-10,North,Office Supplies,Binders,3-Ring Binder,4532.96,8,864.65
2024-06-02,North,Technology,Copiers,Office Copier,682.8,5,93.72
2023-06-11,North,Technology,Accessories,Mouse,6029.6,8,1362.0
2023-04-17,South,Furniture,Bookcases,Metal Bookcase,758.19,3,206.55
2023-12-18,West,Office Supplies,Binders,3-Ring Binder,2500.0,4,658.07
2024-03-09,South,Office Supplies,Paper,Printer Paper,294.0,5,39.22
2024-03-28,South,Furniture,Tables,Desk Table,3595.2,7,280.31
2023-06-01,North,Furniture,Chairs,Gaming Chair,925.05,7,117.54
2023-04-16,West,Office Supplies,Paper,Printer Paper,4239.0,6,1148.91
2023-08-31,West,Furniture,Bookcases,Wood Bookcase,2637.18,3,666.4
2023-12-07,South,Technology,Phones,Wireless Phone,5081.79,7,1351.84
2024-01-27,West,Office Supplies,Paper,Printer Paper,775.56,1,81.91
2023-08-17,East,Office Supplies,Binders,3-Ring Binder,600.83,1,89.89
2024-06-05,East,Technology,Accessories,Mouse,4325.86,7,1128.68
2023-07-02,East,Technology,Phones,Android Phone,268.35,5,53.44
2024-06-07,East,Furniture,Tables,Conference Table,717.94,2,139.39
2023-01-02,East,Technology,Copiers,Mini Copier,1362.04,4,91.93
2023-11-04,East,Furniture,Tables,Desk Table,3034.35,5,399.16
2024-03-06,East,Furniture,Chairs,Office Chair,4312.28,7,1188.9
2023-11-08,East,Office Supplies,Storage,Storage Box,1024.8,5,252.55
2023-08-07,South,Office Supplies,Binders,Plastic Binder,5747.92,8,1666.66
2024-06-11,South,Furniture,Chairs,Gaming Chair,613.08,6,176.57
2023-07-23,West,Furniture,Tables,Desk Table,124.47,3,13.84
2024-02-29,West,Furniture,Chairs,Gaming Chair,2608.56,4,380.84
2023-01-06,West,Technology,Phones,Wireless Phone,1410.02,2,147.64
2023-05-05,East,Technology,Copiers,Office Copier,1098.72,8,182.56
2024-04-01,East,Office Supplies,Storage,Desk Organizer,2023.26,3,341.26
2024-06-17,North,Technology,Copiers,Mini Copier,4572.32,8,542.5
2023-10-06,South,Furniture,Tables,Desk Table,1808.04,6,334.56
2023-06-06,West,Technology,Phones,Android Phone,306.08,4,46.49
2024-03-06,North,Office Supplies,Paper,Printer Paper,5713.82,7,1120.02
2023-01-07,West,Furniture,Tables,Conference Table,1696.68,6,250.25
2024-05-14,West,Furniture,Bookcases,Wood Bookcase,1040.72,4,178.39
